"manual_id","unit_no","theme","description","date","duration","location","lead_organiser"
8001,1,Organic Farming,Objective: Promote sustainable agricultural practices Description: Participants will learn about organic farming techniques and actively engage in planting organic crops.,2023-07-15,1 day,Organic Farm ,Anna University,Emma Johnson
8002,1,World Environment Day Awareness,Objective: Raise awareness about environmental conservation Description: This session will focus on educating participants about the importance of environmental conservation, with special emphasis on World Environment Day.,2023-08-10,1 day,Vivek Auditorium,James Smith
8003,1,Paper Collection,Objective: Promote recycling and waste management Description: Participants will be involved in collecting and segregating recyclable paper waste from designated areas within the community.,2023-09-05,1 day,Tiruvallur , Chennai,Sophia Anderson
8004,1,Beach Cleaning,Objective: Clean and preserve the coastal environment Description: Volunteers will gather to clean up litter and debris from the beach, contributing to the conservation of marine ecosystems.,2023-10-20,1 day,Marina Beach,Noah Brown
8005,1,College Cleaning,Objective: Maintain cleanliness and hygiene in the college premises Description: Participants will engage in various cleaning activities to ensure a clean and healthy environment within the college campus.,2023-11-15,1 day,Anna University, Gunidy,James Smith
8006,2,Organic Farming,Objective: Promote sustainable agricultural practices Description: Participants will learn about organic farming techniques and actively engage in planting organic crops.,2023-07-20,1 day,Organic Farm, Anna University,Emma Smith
8007,2,International Womens Day Celebration,Objective: Empowerment and gender equality Description: This event aims to celebrate the achievements of women and promote gender equality through various workshops, discussions, and cultural performances.,2023-08-15,1 day,Tag Auditorium,Ava Wilson
8008,2,Paper Collection,Objective: Promote recycling and waste management Description: Participants will be involved in collecting and segregating recyclable paper waste from designated areas within the community.,2023-09-10,1 day,Koturpuram, Guindy,Daniel Taylor
8009,2,Beach Cleaning,Objective: Clean and preserve the coastal environment Description: Volunteers will gather to clean up litter and debris from the beach, contributing to the conservation of marine ecosystems.,2023-10-25,1 day,Besant Nagar Beach,Emma Smith
8010,2,College Cleaning,Objective: Maintain cleanliness and hygiene in the college premises Description: Participants will engage in various cleaning activities to ensure a clean and healthy environment within the college campus.,2023-11-20,1 day,Anna University,Ava Wilson
8011,3,Organic Farming,Objective: Promote sustainable agricultural practices Description: Participants will learn about organic farming techniques and actively engage in planting organic crops.,2023-07-30,1 day,Organic Farm, Anna University,Benjamin Thompson
8012,3,Childrens Day Celebration,Objective: Celebrate the well-being of children Description: This event aims to celebrate Childrens Day with fun-filled activities, games, and educational workshops designed to promote the well-being of children.,2023-08-25,1 day,SPL school, Adayaar,Daniel Rodriguez
8013,3,Paper Collection,Objective: Promote recycling and waste management Description: Participants will be involved in collecting and segregating recyclable paper waste from designated areas within the community.,2023-09-20,1 day,T-Nagar Streets,Avery Hall
8014,3,Beach Cleaning,Objective: Clean and preserve the coastal environment Description: Volunteers will gather to clean up litter and debris from the beach, contributing to the conservation of marine ecosystems.,2023-10-05,1 day,Marina Beach,Isabella Martinez
8015,3,College Cleaning,Objective: Maintain cleanliness and hygiene in the college premises Description: Participants will engage in various cleaning activities to ensure a clean and healthy environment within the college campus.,2023-11-30,1 day,Anna University,Benjamin Thompson
